key;ru;en
"card.standard.15.desc";"При смерти: наносит *2* урона обоим игрокам";"On death: deals *2* damage to both players"
"card.standard.16.name";"Начитанный волшебник Попадос";"Well-Read Wizard Popados"
"card.standard.16.desc";"При разыгрывании: положите в руку копию последнего разыгранного вами заклинания";"When played: add a copy of the last spell you played to your hand"
"card.standard.17.name";"Скелетон";"Skeleton"
"card.standard.17.desc";"При смерти: возвращается в руку";"On death: returns to your hand"
"card.standard.18.name";"Лич, скелетон-чародей";"Lich, Skeleton Sorcerer"
"card.standard.18.desc";"При разыгрывании: замешайте в колоду 2 Скелетона";"When played: shuffle 2 Skeletons into your deck"
"card.standard.19.name";"Свежий зомби";"Fresh Zombie"
"card.standard.19.desc";"При разыгрывании: оппонент сбрасывает случайную карту";"When played: the opponent discards a random card"
"card.standard.20.name";"Дерзкий расхититель гробниц";"Brazen Tomb Raider"
"card.standard.20.desc";"Когда вы берёте карту: оппонент сбрасывает случайную карту";"When you draw a card: the opponent discards a random card"
"card.standard.21.name";"Охотник за твоей головой";"Bounty Hunter"
"card.standard.21.desc";"При разыгрывании: наносит *1* урона всем существам в колоде оппонента";"When played: deals *1* damage to all creatures in the opponent's deck"
"card.standard.22.name";"Верховный волшебник Барабук";"Archmage Barabook"
"card.standard.22.desc";"При разыгрывании: посмотрите 2 заклинания в колоде за 5 или меньше, выберите 1 и разыграйте";"When played: look at 2 spells costing 5 or less in your deck, choose 1 and play it"
"card.standard.23.name";"Пресвятой Душ'Нила";"Holy Dushnila"
"card.standard.23.desc";"При разыгрывании: уничтожает существ оппонента без жёлтого цвета";"When played: destroys enemy creatures without the yellow color"
"card.standard.24.name";"Еретик попущенный";"Forsaken Heretic"
"card.standard.24.desc";"В начале хода: получает контроль над случайным существом оппонента до конца хода";"At the start of turn: takes control of a random enemy creature until end of turn"
"card.standard.25.name";"Библиотекарь на смене";"Librarian on Duty"
"card.standard.25.desc";"При разыгрывании: возьмите из колоды случайное заклинание";"When played: draw a random spell from your deck"
"card.standard.26.name";"Шнырь";"Snitch"
"card.standard.26.desc";"В конце хода: возьмите карту";"At the end of turn: draw a card"
"card.standard.27.name";"Кладка";"Brood"
"card.standard.27.desc";"В начале хода: призывает 2 Пауков 1/1/3";"At the start of turn: summons 2 Spiders 1/1/3"
"card.standard.28.name";"Всадник Разложения";"Rider of Decay"
"card.standard.28.desc";"При разыгрывании: погибает. При смерти: оппонент сбрасывает случайную карту";"When played: dies. On death: the opponent discards a random card"
"card.standard.29.name";"Всадник Войны";"Rider of War"
"card.standard.29.desc";"При разыгрывании: погибает. При смерти: призывает 2 Воина 3/2/2";"When played: dies. On death: summons 2 Warriors 3/2/2"
"card.standard.30.name";"Всадник Голода";"Rider of Famine"
"card.standard.30.desc";"При разыгрывании: погибает. При смерти: похищает у случайного врага *2* здоровья";"When played: dies. On death: steals *2* health from a random enemy"
"card.standard.31.name";"Всадник Смерти";"Rider of Death"
"card.standard.31.desc";"При разыгрывании: погибает. При смерти: уничтожает самое сильное существо оппонента";"When played: dies. On death: destroys the strongest enemy creature"
"card.standard.32.name";"Токсичная мать";"Toxic Mother"
"card.standard.32.desc";"При разыгрывании: наносит владельцу *3* урона, призывает 4 Павука 1/1/3";"When played: deals *3* damage to its owner, summons 4 Spiders 1/1/3"
"card.standard.33.name";"Батя улья";"Hive Daddy"
"card.standard.33.desc";"В начале матча: наносит владельцу *3* урона, заполняет вашу сторону Павуками 1/1/3";"At the start of the match: deals *3* damage to its owner, fill row with Spiders 1/1/3"
"card.standard.34.name";"Проповедник из качалки";"Gym Preacher"
"card.standard.34.desc";"В начале матча: если все карты в вашей колоде жёлтого цвета, удваивает ваше здоровье";"At the start of the match: if all cards in your deck are yellow, doubles your health"
"card.standard.35.name";"Очиститель";"Purifier"
"card.standard.35.desc";"В конце хода: положите в руку случайное заклинание другого цвета";"At the end of turn: add a random spell of a different color to your hand"
"card.standard.36.name";"Харизматичный священник";"Charismatic Priest"
"card.standard.36.desc";"При разыгрывании: призывает самое дорогое существо из колоды, оно умрёт через *3* хода";"When played: summons the most expensive creature from your deck; it dies in *3* turns"
"card.standard.37.name";"Патриарх";"Patriarch"
"card.standard.37.desc";"При разыгрывании: существа в вашей колоде получают +*1*/+*1*";"When played: creatures in your deck gain +*1*/+*1*"
"card.standard.38.name";"Тайный воздыхатель";"Secret Admirer"
"card.standard.38.desc";"В конце хода: ваши существа получают +*1*/+*1*";"At the end of turn: your creatures gain +*1*/+*1*"
"card.standard.39.name";"Водонос";"Water Carrier"
"card.standard.39.desc";"При смерти: положите в руку Водицу";"On death: add Water to your hand"
"card.standard.40.name";"Магический гомункул";"Magic Homunculus"
"card.standard.40.desc";"При разыгрывании: призывает существо с таким же названием. При смерти: замешайте копию в колоду";"When played: summons a creature with the same name. On death: shuffle a copy into your deck"
"card.standard.41.name";"Сатанинский круг";"Satanic Circle"
"card.standard.41.desc";"Получите *3* урона, призовите 2 Чертей";"Take *3* damage, summon 2 Imps"
"card.standard.42.name";"Окропить святой водой";"Sprinkle Holy Water"
"card.standard.42.desc";"Нанесите *2* урона существам без жёлтого цвета, положите в руку случайное заклинание жёлтого цвета за каждое погибшее существо";"Deal *2* damage to creatures without the yellow color, add a random yellow spell to your hand for each creature that died"
"card.standard.43.name";"Чертовщина";"Devilry"
"card.standard.43.desc";"Превратите существо в вашего Чёрта";"Turn a creature into your Imp"
"card.standard.44.name";"Водица";"Water"
"card.standard.44.desc";"Получите *3* маны до конца хода";"Gain *3* mana until end of turn"
"card.standard.45.name";"Адовый червь";"Hell Worm"
"card.standard.45.desc";"При разыгрывании: до конца матча, когда вы берёте карту в начале хода, посмотрите 3 верхние, выберите одну — уничтожьте её, а две другие возьмите";"When played: until the end of the match, when you draw at the start of turn, look at the top 3, choose one to destroy and draw the other two"
"card.standard.46.name";"Очистить от скверны";"Cleanse the Filth"
"card.standard.46.desc";"Положите в руку 2 карты чёрного, красного или синего цвета";"Add 2 black, red, or blue cards to your hand"
"card.standard.47.name";"Босс качалки Билли";"Gym Boss Billy"
"card.standard.47.desc";"В начале матча: у вас всегда на выбор 4 карты и неограниченное число замен";"At the start of the match: you always mulligan 4 cards with unlimited replacements"
"card.standard.48.name";"Уничтожить";"Destroy"
"card.standard.48.desc";"Уничтожьте существо оппонента";"Destroy an enemy creature"
"card.standard.49.name";"Боба";"Boba"
"card.standard.49.desc";"В конце хода: если контролируете Бибу, наносит оппоненту *3* урона";"At the end of turn: if you control Biba, deals *3* damage to the opponent"
"card.standard.50.name";"За работу!";"Get to Work!"
"card.standard.50.desc";"В начале хода: ваши существа получают +*1* к скорости";"At the start of turn: your creatures gain +*1* Speed"
"card.standard.51.name";"Паук из кладки";"Brood Spider"
"card.standard.52.name";"Молитва за здравие";"Prayer for Health"
"card.standard.52.desc";"Ваши существа получают +*2* к здоровью";"Your creatures gain +*2* Health"
"card.standard.53.name";"Штраф на предприятии";"Workplace Fine"
"card.standard.53.desc";"Оба игрока теряют по *3* золота";"Both players lose *3* gold each"
"card.standard.54.name";"Позвать рой";"Call the Swarm"
"card.standard.54.desc";"Призовите Павука 1/1/3; эффект повторяется за каждую карту с таким же названием, разыгранную вами в этом матче";"Summon a Spider 1/1/3; repeats for each card with the same name you played this match"
"card.standard.55.name";"Павук";"Spider"
"card.standard.56.name";"Бешеная бабка";"Mad Granny"
"card.standard.56.desc";"При разыгрывании: уничтожает существо и занимает его место";"When played: destroys a creature and takes its place"
"card.standard.57.name";"Вудду-будду";"Voodoo-Boodoo"
"card.standard.57.desc";"Если вы получили на своём ходу 12 урона, то до конца матча урон, получаемый вами в свой ход, перенаправляется оппоненту";"If you took 12 damage on your turn, then until the end of the match, damage you take on your turn is redirected to the opponent"
"card.standard.58.name";"Вудду-будду";"Voodoo-Boodoo"
"card.standard.58.desc";"Весь полученный урон на Вашем ходу, отражается оппоненту";"All damage taken on your turn is reflected to the opponent"
"card.standard.59.name";"Вонючее облако";"Stink Cloud"
"card.standard.59.desc";"При взятии: получите *1* урона за каждое взятое Вонючее облако";"When drawn: take *1* damage for each Stink Cloud you've drawn"
"card.standard.60.name";"Дать газу!";"Gas It Up!"
"card.standard.60.desc";"Нанесите *2* урона всем существам на поле боя, замешайте Вонючее облако в колоду оппонента за каждое погибшее существо";"Deal *2* damage to all creatures on the battlefield, shuffle a Stink Cloud into the opponent's deck for each creature that died"
"card.standard.61.name";"Поджог";"Arson"
"card.standard.61.desc";"Нанесите *2* урона врагу";"Deal *2* damage to an enemy"
"card.standard.62.name";"Воин";"Warrior"
"card.standard.63.name";"Биба";"Biba"
"card.standard.63.desc";"В начале матча: замешайте Бобу в колоду. В конце хода: если контролируете Бобу, наносит оппоненту *3* урона";"At the start of the match: shuffle Boba into your deck. At the end of turn: if you control Boba, deals *3* damage to the opponent"
"card.standard.64.name";"Дьявольский обряд";"Devil's Rite"
"card.standard.64.desc";"Получите *3* урона, получите *5* маны";"Take *3* damage, gain *5* mana"
"card.standard.65.name";"Газовое вздутие";"Gas Bloat"
"card.standard.65.desc";"Наложите на существ оппонента эффект «При смерти: замешайте 1 Вонючее облако в колоду владельца»";"Apply to enemy creatures: «On death: shuffle 1 Stink Cloud into the owner's deck»"
"card.standard.66.name";"Обнести хату";"Rob the House"
"card.standard.66.desc";"Похитьте случайную карту из колоды оппонента, она станет на 1 дешевле";"Steal a random card from the opponent's deck; it costs 1 less"
"card.standard.67.name";"Наступающий кризис";"Looming Crisis"
"card.standard.67.desc";"Оба игрока в начале хода не получают золото";"At the start of turn, both players gain no gold"
"card.standard.68.name";"Вербовка";"Recruitment"
"card.standard.68.desc";"В начале хода: призовите 3 Бойцов на арене";"At the start of turn: summon 3 Arena Fighters"
"card.standard.69.name";"Грабёж!";"Robbery!"
"card.standard.69.desc";"Получите *3* золота";"Gain *3* gold"
"card.standard.70.name";"Долгий обряд";"Long Ritual"
"card.standard.70.desc";"В начале хода: получите *3* урона и *2* маны";"At the start of turn: take *3* damage and gain *2* mana"
"card.standard.71.name";"Позвать батю";"Call Dad"
"card.standard.71.desc";"По завершении: призовите Батю 10/10";"When it expires: summon Dad 10/10"
"card.standard.72.name";"Батя";"Dad"
"card.standard.73.name";"Пожарище";"Conflagration"
"card.standard.73.desc";"В начале хода: все получают по *2* урона";"At the start of turn, everyone takes *2* damage"
"card.standard.74.name";"Разгром кладбища";"Graveyard Raid"
"card.standard.74.desc";"Призовите из кладбища 2 существа стоимостью 3 и меньше";"Summon 2 creatures costing 3 or less from the graveyard"
"card.standard.75.name";"Закопать заживо";"Bury Alive"
"card.standard.75.desc";"Замешайте существо в колоду владельца";"Shuffle a creature into its owner's deck"
"card.standard.76.name";"Массовое захоронение";"Mass Burial"
"card.standard.76.desc";"Замешайте всех существ в колоды их владельцев";"Shuffle all creatures into their owners' decks"
"card.standard.77.name";"Призвать ураган";"Summon a Hurricane"
"card.standard.77.desc";"Верните существ в руки их владельцев";"Return all creatures to their owners' hands"
"card.standard.78.name";"Фокус-покус";"Hocus-Pocus"
"card.standard.78.desc";"Разыграйте 2 заклинания стоимостью 3 или меньше";"Cast 2 spells costing 3 or less"
"card.standard.79.name";"Та самая цепная молния";"That Chain Lightning"
"card.standard.79.desc";"Нанесите *3* урона 3 случайным врагам";"Deal *3* damage to 3 random enemies"
"card.standard.80.name";"Кара божественная";"Divine Punishment"
"card.standard.80.desc";"Нанесите *5* урона всем существам чёрного цвета";"Deal *5* damage to all black creatures"
"card.standard.81.name";"Отлучение";"Excommunication"
"card.standard.81.desc";"Лишите существо жёлтого цвета и дайте чёрный";"Remove the yellow color from a creature and give it black"
"card.standard.82.name";"Покайся";"Repent"
"card.standard.82.desc";"Выбранное существо получает -*2* к атаке";"The chosen creature gains -*2* Attack"
"card.standard.83.name";"Обращение в веру";"Conversion"
"card.standard.83.desc";"Дайте выбранному существу жёлтый цвет и заберите его под свой контроль";"Give the chosen creature the yellow color and take control of it"
"card.standard.84.name";"Плохая погода";"Bad Weather"
"card.standard.84.desc";"Существа оппонента получают -*1* к скорости";"Enemy creatures gain -*1* Speed"
"card.standard.85.name";"Великое отлучение";"Great Excommunication"
"card.standard.85.desc";"Существа оппонента получают -*3* к атаке";"Enemy creatures gain -*3* Attack"
"card.standard.86.name";"Великое обращение";"Great Conversion"
"card.standard.86.desc";"Все ваши существа получают жёлтый цвет";"All your creatures gain the yellow color"
"card.standard.87.name";"Облопошить";"Hoodwink"
"card.standard.87.desc";"Получите контроль над существом оппонента, оно умрёт через *3* хода";"Take control of an enemy creature; it dies in *3* turns"
"card.standard.88.name";"Временная петля";"Time Loop"
"card.standard.88.desc";"До конца матча ваши эффекты начала и конца хода срабатывают дважды";"Until the end of the match, your start- and end-of-turn effects trigger twice"
"card.standard.89.name";"Мертвячая рука";"Dead Man's Hand"
"card.standard.89.desc";"Получите *3* урона, посмотрите 3 карты из руки оппонента и сбросьте одну";"Take *3* damage, look at 3 cards in the opponent's hand and discard one"
"card.standard.90.name";"Машина пропаганды";"Propaganda Machine"
"card.standard.90.desc";"Получите контроль над ВСЕМИ существами оппонента на 3 хода";"Take control of ALL enemy creatures for 3 turns"
"card.standard.91.name";"Благоговейный приход";"Reverent Arrival"
"card.standard.91.desc";"В начале вашего хода ваши существа получают +*2*/+*3*";"At the start of your turn, your creatures gain +*2*/+*3*"
"card.standard.92.name";"Грядущий шторм";"Coming Storm"
"card.standard.92.desc";"Нанесите оппоненту *5* урона; если в руке есть карта с таким же названием, разыграйте её";"Deal *5* damage to the opponent; if you have a card with the same name in hand, play it"
"card.standard.93.name";"Прилив сил";"Surge of Power"
"card.standard.93.desc";"Получите *5* маны до конца хода";"Gain *5* mana until end of turn"
"card.standard.94.name";"Бомбануть!";"Blow It Up!"
"card.standard.94.desc";"Нанесите *5* урона существу оппонента и *2* урона ближайшим существам оппонента";"Deal *5* damage to an enemy creature and *2* damage to nearby enemy creatures"
"card.standard.95.name";"Зажигалка";"Lighter"
"card.standard.95.desc";"Нанесите *1* урона существу; если оно погибнет, нанесите соседям *5* урона";"Deal *1* damage to a creature; if it dies, deal *5* damage to its neighbors"
"card.standard.96.name";"Гиперинфляция";"Hyperinflation"
"card.standard.96.desc";"До конца матча все карты стоят на 1 дороже";"Until the end of the match, all cards cost 1 more"
"card.standard.97.name";"Подстава";"Setup"
"card.standard.97.desc";"Замешайте в колоду оппонента 3 карты «Подстава»";"Shuffle 3 Setup cards into the opponent's deck"
"card.standard.98.name";"Подстава";"Setup"
"card.standard.98.desc";"При взятии: сбросьте случайную карту";"When drawn: discard a random card"
"card.standard.99.name";"Чёртов начальник";"Imp Overseer"
"card.standard.99.desc";"В начале хода: наносит владельцу *2* урона, призывает случайного Чёрта";"At the start of turn: deals *2* damage to its owner, summons a random Imp"
"card.standard.100.name";"Неудачная насмешка";"Failed Mockery"
"card.standard.100.desc";"Оба игрока сбрасывают по 1 карте";"Both players discard 1 card each"
"card.standard.101.name";"Надоедливый укус";"Annoying Bite"
"card.standard.101.desc";"Нанесите *1* урона врагу за каждую карту с таким же названием, разыгранную вами в этом матче";"Deal *1* damage to an enemy for each card with the same name you played this match"
"card.standard.102.name";"Канализационная крыса";"Sewer Rat"
"card.standard.102.desc";"При разыгрывании: возьмите карту. При смерти: оба игрока сбрасывают по 1 карте";"When played: draw a card. On death: both players discard 1 card each"
"card.standard.103.name";"Крысиный король";"Rat King"
"card.standard.103.desc";"При смерти: заполняет вашу сторону Канализационными крысами";"On death: fills your row with Sewer Rats"
"card.standard.104.name";"Вонючий туман";"Stinky Fog"
"card.standard.104.desc";"В начале хода: замешайте 1 Вонючее облако в колоду оппонента";"At the start of turn: shuffle 1 Stink Cloud into the opponent's deck"
"card.standard.105.name";"Латентный работяга";"Latent Laborer"
"card.standard.105.desc";"При смерти: замешайте в колоду случайного работягу, если в колоде нет других работяг";"On death: shuffle a random Laborer into your deck, if there are no other Laborers in your deck"
"card.standard.106.name";"Хранительница рощи";"Grove Keeper"
"card.standard.106.desc";"При разыгрывании: заполняет вашу сторону существами из колоды стоимостью 2 или меньше";"When played: fills your row with creatures costing 2 or less from your deck"
"card.standard.107.name";"Мракобесие";"Obscurantism"
"card.standard.107.desc";"В начале хода: получите *3* урона, призовите 1 случайного чёрта";"At the start of turn: take *3* damage, summon 1 random Imp"
"card.standard.108.name";"Ритуальный костёр";"Ritual Bonfire"
"card.standard.108.desc";"В начале хода: оба игрока получают по *1* урона";"At the start of turn, both players take *1* damage"
"card.standard.109.name";"Чёрт-задира";"Bully Imp"
"card.standard.109.desc";"При разыгрывании: наносит случайному персонажу *1* урона";"When played: deals *1* damage to a random character"
"card.standard.110.name";"Надоедливый сорняк";"Annoying Weed"
"card.standard.110.desc";"В начале хода: получает +*1*/+*1*";"At the start of turn: gains +*1*/+*1*"
"card.standard.111.name";"Перегной";"Humus"
"card.standard.111.desc";"Дайте вашему существу +*2*/+*2*";"Give your creature +*2*/+*2*"
"card.standard.112.name";"Матушка полено";"Mother Log"
"card.standard.112.desc";"В конце хода: призывает Очередной сорняк 1/1/2";"At the end of turn: summons Another Weed 1/1/2"
"card.standard.113.name";"Очередной сорняк";"Another Weed"
"card.standard.114.name";"Сезон дождей";"Rainy Season"
"card.standard.114.desc";"В начале хода: ваши существа получают +*1*/+*1*";"At the start of turn: your creatures gain +*1*/+*1*"
"card.standard.115.name";"Плющ переросток";"Overgrown Ivy"
"card.standard.115.desc";"При разыгрывании: получает +*1*/+*1* за каждый Сорняк, призванный вами в этом матче";"When played: gains +*1*/+*1* for each Weed you summoned this match"
"card.standard.116.name";"Заполонить сорняками";"Overrun with Weeds"
"card.standard.116.desc";"Заполните вашу сторону Сорняками 1/1/3, они умрут через *3* хода";"Fill your row with Weeds 1/1/3; they die in *3* turns"
"card.standard.117.name";"Сорняк";"Weed"
"card.standard.118.name";"Селекционер";"Breeder"
"card.standard.118.desc";"Пока контролируете: ваши Сорняки получают +*1*/+*2*";"While you control: your Weeds gain +*1*/+*2*"
"card.standard.119.name";"Сбор урожая";"Harvest"
"card.standard.119.desc";"Получите *1* золота за каждое ваше существо";"Gain *1* gold for each creature you control"
"card.standard.120.name";"Друид в камуфляже";"Camouflaged Druid"
"card.standard.120.desc";"При разыгрывании: ваши существа получают +*2* к здоровью";"When played: your creatures gain +*2* Health"
"card.standard.121.name";"Собиратель побрякушек";"Trinket Collector"
"card.standard.121.desc";"При разыгрывании: посмотрите 3 карты зелёного цвета, положите выбранную в руку, она стоит на 2 меньше";"When played: look at 3 green cards, add the chosen one to your hand; it costs 2 less"
"card.standard.122.name";"Воображаемые друзья";"Imaginary Friends"
"card.standard.122.desc";"Призовите Воображаемого друга Х/Х/Х, где Х — число разыгранных вами карт с этим именем; если в руке есть другая карта с таким названием, разыграйте её";"Summon an Imaginary Friend X/X/X, where X is the number of cards with this name you've played; if you have another card with this name in hand, play it"
"card.standard.123.name";"Воображаемый друг";"Imaginary Friend"
"card.standard.124.name";"Опять всё самому делать!";"Do It All Myself Again!"
"card.standard.124.desc";"Если в вашей колоде нет существ, то до конца матча все заклинания разыгрываются дважды";"If your deck has no creatures, then until the end of the match all spells are cast twice"
"card.standard.125.name";"Искорка";"Spark"
"card.standard.125.desc";"Нанесите *2* урона существу";"Deal *2* damage to a creature"
"card.standard.126.name";"Запойное чтение";"Binge Reading"
"card.standard.126.desc";"Возьмите *2* карты";"Draw *2* cards"
"card.standard.127.name";"Полезный конспект";"Useful Notes"
"card.standard.127.desc";"Положите в руку копию последнего разыгранного вами заклинания";"Add a copy of the last spell you played to your hand"
"card.standard.128.name";"Обидчивый гримуар";"Touchy Grimoire"
"card.standard.128.desc";"Призовите Гримуар 2/2/1 «При смерти: возьмите *1* карту»";"Summon a Grimoire 2/2/1 «On death: draw *1* card»"
"card.standard.129.name";"Гримуар";"Grimoire"
"card.standard.129.desc";"При смерти: возьмите *1* карту";"On death: draw *1* card"
"card.standard.130.name";"Финишер";"Finisher"
"card.standard.130.desc";"Нанесите *1* урона оппоненту за каждое заклинание, разыгранное вами в этом матче";"Deal *1* damage to the opponent for each spell you played this match"
"card.standard.131.name";"Скучный урок";"Boring Lesson"
"card.standard.131.desc";"В конце хода: положите в руку случайное заклинание";"At the end of turn: add a random spell to your hand"
"card.standard.132.name";"Книжка-пустышка";"Dummy Book"
"card.standard.132.desc";"Возьмите карту; если в вашей колоде нет существ, возьмите ещё одну";"Draw a card; if your deck has no creatures, draw another one"
"card.standard.133.name";"Нечищеный источник";"Untapped Spring"
"card.standard.133.desc";"В начале хода: получите *1* маны за каждую активацию";"At the start of turn: gain *1* mana for each activation"
"card.standard.134.name";"Дежавю";"Déjà Vu"
"card.standard.134.desc";"Разыграйте копии всех заклинаний, разыгранных вами в этом матче";"Cast copies of all spells you played this match"
"card.standard.135.name";"Шаман — покровитель сорняков";"Weed Patron Shaman"
"card.standard.135.desc";"В конце хода: наносит *1* урона случайному врагу за каждое ваше существо";"At the end of turn: deals *1* damage to a random enemy for each creature you control"
"card.standard.136.name";"Время кормёжки";"Feeding Time"
"card.standard.136.desc";"Уничтожьте ваше существо, призовите 2 Павуков 1/1/3";"Destroy your creature, summon 2 Spiders 1/1/3"
"card.standard.137.name";"Почему пауки";"Why Spiders"
"card.standard.137.desc";"Нанесите *3* урона существам оппонента, призовите Павука 1/1/3 за каждое убитое существо";"Deal *3* damage to enemy creatures, summon a Spider 1/1/3 for each creature killed"
"card.standard.138.name";"Вторая попытка";"Second Try"
"card.standard.138.desc";"Верните ваше существо в руку, оно станет на 2 меньше";"Return a creature you control to your hand; it costs 2 less"
"card.standard.139.name";"Дикий призыв";"Wild Summon"
"card.standard.139.desc";"Разыграйте существо из колоды стоимостью 5 или меньше";"Play a creature costing 5 or less from your deck"
"card.standard.140.name";"Бесконтрольная заросль";"Uncontrolled Thicket"
"card.standard.140.desc";"В начале хода: призовите Сорняк 1/1/2, он погибнет через *3* хода";"At the start of turn: summon a Weed 1/1/2; it dies in *3* turns"
"card.standard.141.name";"Мастер над чарами";"Master of Charms"
"card.standard.141.desc";"При разыгрывании: посмотрите 3 чары, положите выбранную в руку, она стоит на 1 меньше за каждый раз, когда вы разыграли эту карту";"When played: look at 3 charms, add the chosen one to your hand; it costs 1 less for each time you've played this card"
"card.standard.142.name";"Судный час";"Judgment Hour"
"card.standard.142.desc";"По завершении: нанесите *10* урона ВСЕМ персонажам";"When it expires: deal *10* damage to ALL characters"
"card.standard.143.name";"Неудачная молитва";"Failed Prayer"
"card.standard.143.desc";"Каждый раз, когда существо без жёлтого цвета выходит на поле боя, оно получает *3* урона";"Each time a creature without the yellow color enters the battlefield, it takes *3* damage"
"card.standard.144.name";"Плохое варево";"Bad Brew"
"card.standard.144.desc";"При разыгрывании: восстановите *12* здоровья. В начале хода: получите *3* урона";"When played: restore *12* health. At the start of turn: take *3* damage"
"card.standard.145.name";"Вулканчик из содовой";"Soda Volcano"
"card.standard.145.desc";"В начале хода: нанесите *1* урона всем существам на поле боя за каждую активацию";"At the start of turn: deal *1* damage to all creatures on the battlefield for each activation"
"card.standard.146.name";"Первая помощь";"First Aid"
"card.standard.146.desc";"Восстановите *3* здоровья, замешайте в колоду 3 карты «Ещё одна первая помощь»";"Restore *3* health, shuffle 3 Another First Aid cards into your deck"
"card.standard.147.name";"Ещё одна первая помощь";"Another First Aid"
"card.standard.147.desc";"При взятии: восстановите *3* здоровья";"When drawn: restore *3* health"
"card.standard.148.name";"Лесная милфа";"Forest MILF"
"card.standard.148.desc";"При разыгрывании: восстанавливает *3* здоровья и даёт *3* маны";"When played: restores *3* health and gives *3* mana"
"card.standard.149.name";"Голодный повар";"Hungry Cook"
"card.standard.149.desc";"При разыгрывании: уничтожает существо оппонента на поле боя, в руке и в колоде";"When played: destroys an enemy creature on the battlefield, in hand, and in the deck"
"card.standard.150.name";"Обжора";"Glutton"
"card.standard.150.desc";"Получает +*2*/+*2* за каждые ваши чары";"Gains +*2*/+*2* for each charm you control"
"card.standard.151.name";"Мистер Постоянство";"Mister Persistence"
"card.standard.151.desc";"При разыгрывании: разыгрывает все чары, разыгранные вами в этом матче";"When played: casts all charms you played this match"
"card.standard.152.name";"Стукач";"Informer"
"card.standard.152.desc";"При смерти: призывает из колоды самое слабое существо";"On death: summons the weakest creature from your deck"
"card.standard.153.name";"Прикурить";"Light Up"
"card.standard.153.desc";"Уничтожьте случайное существо оппонента на поле боя, в руке и в колоде";"Destroy a random enemy creature on the battlefield, in hand, and in the deck"
"card.standard.154.name";"Дополнительная возможность";"Extra Opportunity"
"card.standard.154.desc";"Посмотрите 3 заклинания, выберите 1 и разыграйте его, затем замешайте 3 его копии в колоду";"Look at 3 spells, choose 1 and cast it, then shuffle 3 copies of it into your deck"
"card.standard.155.name";"Сотворение чудес";"Working Miracles"
"card.standard.155.desc";"В начале хода: разыграйте случайное заклинание";"At the start of turn: cast a random spell"
"type.Creature";"Существо";"Creature"
"type.Spell";"Заклинание";"Spell"
"type.Charm";"Чары";"Charm"
"ui.menu.play";"Играть";"Play"
"ui.menu.deck";"Коллекция";"Collection"
"ui.menu.settings";"Настройки";"Settings"
"ui.menu.exit";"Выход";"Exit"
